Price,Close,High,Low,Open,Volume
Ticker,BMW.DE,BMW.DE,BMW.DE,BMW.DE,BMW.DE
Date,,,,,
2020-05-11,37.46485900878906,38.31086312864776,37.21689214010054,37.946206132465356,2401288
2020-05-12,37.09291458129883,37.596140295309546,37.00539767062575,37.231483255040565,1539118
2020-05-13,35.53947067260742,36.94704690671896,35.39360731706142,36.46569978089562,2671455
2020-05-14,34.33610153198242,35.17481089130607,33.38069927176656,34.93049138981474,4025076
2020-05-15,35.930450439453125,36.211576639361226,34.89066075574588,34.89066075574588,3502835
2020-05-18,38.703216552734375,38.764835024215465,36.627492039334676,36.68525862181559,2765408
2020-05-19,38.549171447753906,39.519641759731826,37.77510633145991,39.434917834608164,2315191
2020-05-20,39.165340423583984,39.29627819667821,37.63646967482498,38.50295953320631,1641527
2020-05-21,38.564579010009766,39.36560153291349,38.28345280586321,38.818750804791534,1347915
2020-05-22,38.57228088378906,39.18074711694525,37.53634312466084,37.93300247742032,1369506
2020-05-25,38.7340202331543,39.11912681028696,37.80206302164446,39.09601841773059,1796645
2020-05-26,39.950958251953125,39.950958251953125,38.58768052204775,39.080619442896925,2720565
2020-05-27,41.89189910888672,42.98560347551143,39.881642012546514,40.051089871435096,4266200
2020-05-28,41.591514587402344,42.646705894072916,40.99074920578601,42.5542811287774,2340231
2020-05-29,40.513214111328125,41.20640718311867,40.26674611649821,40.62104642993019,3477078
2020-06-02,42.63130187988281,43.17045173830554,41.76866386928468,42.061345724679356,2911717
2020-06-03,44.656959533691406,44.82640737239215,42.99329919322529,43.23206633520088,2928586
2020-06-04,44.726280212402344,44.99585365668891,43.3090878093026,44.0484917748859,2655148
2020-06-05,45.82768249511719,46.4669608208977,45.196107946201266,45.3270427715992,4307916
2020-06-08,46.73653793334961,47.61458052481866,45.55811265933906,45.61972818846361,2789528
2020-06-09,45.75836944580078,47.39122072671375,44.67236887178771,46.944498565823686,2856264
2020-06-10,45.35785675048828,46.62870975820724,44.880325369449956,46.18968845113276,2191842
2020-06-11,42.839256286621094,44.202533968996356,42.77764075999453,44.06389536142395,3214148
2020-06-12,43.247474670410156,44.425899989292894,42.13836572263313,42.36942910737657,2348746
2020-06-15,43.09342956542969,43.28598286738592,41.47598006611925,41.67623714550665,1887970
2020-06-16,43.95606994628906,44.72628319635634,43.131942003767506,44.5645391189935,2628679
2020-06-17,44.1024055480957,44.641555363605256,43.51704482202798,43.90215141337336,1759639
2020-06-18,43.98687744140625,44.8264099682945,43.49394145096366,44.1101114390169,2039514
2020-06-19,43.848236083984375,44.65695932634924,43.5555542561684,44.264151901702334,3912795
2020-06-22,44.1794319152832,44.795601919640156,43.17815529093687,43.29368551405548,1442690
2020-06-23,44.98815155029297,45.90470417318082,44.30266229287524,44.64155503302274,2185453
2020-06-24,43.27058029174805,45.388666713177706,43.27058029174805,44.888026929224004,1797898
2020-06-25,43.963775634765625,44.217944490505964,42.62360322862861,42.99330525215215,1722272
2020-06-26,42.95479202270508,44.564537784673014,42.73913325934507,44.52602771094877,1953166
2020-06-29,43.67879104614258,43.778919587522424,42.623599756329675,42.77764298811476,1859116
2020-06-30,43.76351547241211,43.99457885367445,42.91628209507344,43.748110855243915,2049620
2020-07-01,43.28598403930664,43.948367886070216,42.854663573520284,43.13964164545451,1618381
2020-07-02,44.633853912353516,45.350152397481516,43.62487359914105,43.85593696315296,2018441
2020-07-03,44.1024055480957,45.095981258918016,43.909852252423015,44.83410865927795,903202
2020-07-06,45.02666091918945,45.96632192065853,44.46440566133453,45.40406666280361,1512797
2020-07-07,45.17300796508789,45.65824019366807,44.48751570945474,44.91113534443319,1505768
2020-07-08,44.68777084350586,45.58891888984569,44.5645368473022,44.880324146207215,1362427
2020-07-09,44.24104690551758,45.43487976338653,44.11781290615353,45.14219791309805,1231470
2020-07-10,45.20381164550781,45.211515422859904,43.7635137843361,44.0947056953516,1532862
2020-07-13,45.28853988647461,46.158881708058175,44.91113702787683,45.90470991754376,1073725
2020-07-14,44.61845016479492,45.06517228549568,44.16402426687011,44.61074638757086,1371809
2020-07-15,45.14219284057617,45.52729941258159,44.71087242220331,44.92653410045473,1465863
2020-07-16,45.26543045043945,45.51189844120691,44.780195308184055,44.80330076415281,999456
2020-07-17,46.00482940673828,46.74423329842188,45.8276807413222,46.174277233714484,1858811
2020-07-20,45.51959991455078,45.96632499037083,45.14219708386305,45.89700568336876,1314311
2020-07-21,46.844364166259766,47.537557185661385,46.0587463903146,46.21278960997386,2151595
2020-07-22,46.16658401489258,47.03692586413003,45.88930969569931,46.7596486068062,1255270
2020-07-23,47.09853744506836,48.061303926462806,46.75194092414033,46.82896106739983,2012658
2020-07-24,46.382240295410156,46.85977166137915,46.14347314336055,46.674919198803615,1595443
2020-07-27,46.02023696899414,46.66721615018386,45.966322282072504,46.289810403602324,931048
2020-07-28,46.05875015258789,46.62100545286102,45.80458131679907,46.18968792833932,1163934
2020-07-29,44.895729064941406,46.22049379850776,44.526027073844034,46.1049635789881,1780245
2020-07-30,43.25517272949219,44.818704568482936,42.78534221244192,44.67236511978292,2283364
2020-07-31,42.13066482543945,43.46313337837418,42.11526020806022,43.22436621619164,1926062
2020-08-03,43.29368209838867,43.601768545325754,41.9149998024469,42.1306614905549,1812786
2020-08-04,44.78019714355469,44.78019714355469,43.871345288550465,43.97147383206933,1873398
